flight_id,date,origin,destination,airline,dep_time,arr_time,duration_hrs,price_usd,flight_code,day_of_week,month,date_dt
14761,2025-06-01,JFK,ORD,Singapore Airlines,16:00,18:00,2.3,164,SI987,Sunday,6,2025-06-01
15240,2025-06-02,JFK,ORD,American,09:30,10:30,1.0,150,AM163,Monday,6,2025-06-02
15717,2025-06-03,JFK,ORD,ANA,16:30,17:30,1.8,161,AN895,Tuesday,6,2025-06-03
16191,2025-06-04,JFK,ORD,American,22:00,00:00,2.5,141,AM452,Wednesday,6,2025-06-04
16658,2025-06-05,JFK,ORD,Lufthansa,12:15,14:15,2.1,167,LU382,Thursday,6,2025-06-05
17137,2025-06-06,JFK,ORD,LATAM,18:15,19:15,1.1,148,LA718,Friday,6,2025-06-06
17608,2025-06-07,JFK,ORD,Singapore Airlines,18:00,19:00,1.6,211,SI837,Saturday,6,2025-06-07
18096,2025-06-08,JFK,ORD,Japan Airlines,17:15,19:15,2.3,172,JA866,Sunday,6,2025-06-08
18570,2025-06-09,JFK,ORD,Japan Airlines,08:45,09:45,1.4,179,JA395,Monday,6,2025-06-09
19041,2025-06-10,JFK,ORD,Lufthansa,19:00,20:00,1.2,151,LU581,Tuesday,6,2025-06-10
19515,2025-06-11,JFK,ORD,Qantas,21:45,23:45,2.7,171,QA713,Wednesday,6,2025-06-11
19998,2025-06-12,JFK,ORD,Air Canada,14:00,16:00,2.5,164,AI619,Thursday,6,2025-06-12
20470,2025-06-13,JFK,ORD,Air France,21:00,23:00,2.5,144,AI533,Friday,6,2025-06-13
20946,2025-06-14,JFK,ORD,Delta,17:30,18:30,1.5,165,DE365,Saturday,6,2025-06-14
21414,2025-06-15,JFK,ORD,American,15:15,16:15,1.1,174,AM608,Sunday,6,2025-06-15
21881,2025-06-16,JFK,ORD,United,05:45,07:45,2.0,148,UN593,Monday,6,2025-06-16
22347,2025-06-17,JFK,ORD,Air France,06:45,09:45,3.1,150,AI277,Tuesday,6,2025-06-17
22834,2025-06-18,JFK,ORD,ANA,18:30,19:30,1.3,180,AN600,Wednesday,6,2025-06-18
23322,2025-06-19,JFK,ORD,American,14:15,15:15,1.3,155,AM329,Thursday,6,2025-06-19
23795,2025-06-20,JFK,ORD,LATAM,09:30,11:30,2.0,164,LA614,Friday,6,2025-06-20
24288,2025-06-21,JFK,ORD,American,05:45,08:45,3.4,148,AM190,Saturday,6,2025-06-21
24770,2025-06-22,JFK,ORD,KLM,15:15,16:15,1.8,183,KL148,Sunday,6,2025-06-22
25252,2025-06-23,JFK,ORD,Air Canada,10:30,12:30,2.3,144,AI687,Monday,6,2025-06-23
25716,2025-06-24,JFK,ORD,Qantas,10:30,11:30,1.7,154,QA548,Tuesday,6,2025-06-24
26187,2025-06-25,JFK,ORD,American,17:00,20:00,3.5,158,AM512,Wednesday,6,2025-06-25
26674,2025-06-26,JFK,ORD,Delta,20:45,22:45,2.7,163,DE140,Thursday,6,2025-06-26
27132,2025-06-27,JFK,ORD,Delta,09:45,11:45,2.8,159,DE844,Friday,6,2025-06-27
27599,2025-06-28,JFK,ORD,Lufthansa,12:45,15:45,3.2,175,LU830,Saturday,6,2025-06-28
28067,2025-06-29,JFK,ORD,KLM,13:15,14:15,1.1,176,KL877,Sunday,6,2025-06-29
28533,2025-06-30,JFK,ORD,Korean Air,15:45,17:45,2.8,160,KO160,Monday,6,2025-06-30
29010,2025-07-01,JFK,ORD,Lufthansa,20:00,22:00,2.2,181,LU108,Tuesday,7,2025-07-01
29,2025-05-01,JFK,LAX,American,14:45,15:45,1.4,141,AM564,Thursday,5,2025-05-01
501,2025-05-02,JFK,LAX,Qantas,22:15,00:15,2.9,144,QA980,Friday,5,2025-05-02
963,2025-05-03,JFK,LAX,Korean Air,20:15,21:15,1.2,144,KO325,Saturday,5,2025-05-03
1435,2025-05-04,JFK,LAX,United,07:00,10:00,3.4,153,UN283,Sunday,5,2025-05-04
1911,2025-05-05,JFK,LAX,Japan Airlines,05:15,08:15,3.0,154,JA770,Monday,5,2025-05-05
2387,2025-05-06,JFK,LAX,Qantas,17:30,19:30,2.5,151,QA152,Tuesday,5,2025-05-06
2861,2025-05-07,JFK,LAX,United,21:45,23:45,2.1,135,UN178,Wednesday,5,2025-05-07
3332,2025-05-08,JFK,LAX,KLM,18:00,20:00,2.8,130,KL576,Thursday,5,2025-05-08
3817,2025-05-09,JFK,LAX,Air France,14:00,15:00,1.6,135,AI344,Friday,5,2025-05-09
4292,2025-05-10,JFK,LAX,United,22:45,23:45,1.3,138,UN501,Saturday,5,2025-05-10
4775,2025-05-11,JFK,LAX,Qantas,10:00,12:00,2.8,169,QA651,Sunday,5,2025-05-11
5249,2025-05-12,JFK,LAX,Air France,08:00,10:00,2.7,135,AI343,Monday,5,2025-05-12
5718,2025-05-13,JFK,LAX,LATAM,12:45,13:45,1.0,153,LA498,Tuesday,5,2025-05-13
6189,2025-05-14,JFK,LAX,Air France,07:30,09:30,2.6,148,AI500,Wednesday,5,2025-05-14
6653,2025-05-15,JFK,LAX,Delta,06:00,07:00,1.7,121,DE441,Thursday,5,2025-05-15
7138,2025-05-16,JFK,LAX,KLM,05:00,08:00,3.3,122,KL182,Friday,5,2025-05-16
7609,2025-05-17,JFK,LAX,American,09:00,11:00,2.8,162,AM547,Saturday,5,2025-05-17
8082,2025-05-18,JFK,LAX,LATAM,16:00,18:00,2.5,162,LA448,Sunday,5,2025-05-18
8564,2025-05-19,JFK,LAX,Air Canada,16:45,18:45,2.7,138,AI543,Monday,5,2025-05-19
9038,2025-05-20,JFK,LAX,Delta,18:45,21:45,3.2,147,DE675,Tuesday,5,2025-05-20
9505,2025-05-21,JFK,LAX,Korean Air,06:00,07:00,1.9,156,KO591,Wednesday,5,2025-05-21
9982,2025-05-22,JFK,LAX,Lufthansa,18:30,19:30,1.0,135,LU589,Thursday,5,2025-05-22
10452,2025-05-23,JFK,LAX,Japan Airlines,10:30,12:30,2.1,159,JA258,Friday,5,2025-05-23
10924,2025-05-24,JFK,LAX,United,18:45,19:45,1.6,158,UN777,Saturday,5,2025-05-24
11397,2025-05-25,JFK,LAX,Qantas,11:30,12:30,1.6,155,QA278,Sunday,5,2025-05-25
11887,2025-05-26,JFK,LAX,United,20:30,22:30,2.2,127,UN968,Monday,5,2025-05-26
12367,2025-05-27,JFK,LAX,Qantas,14:15,16:15,2.2,139,QA724,Tuesday,5,2025-05-27
12852,2025-05-28,JFK,LAX,ANA,14:00,16:00,2.2,147,AN853,Wednesday,5,2025-05-28
13335,2025-05-29,JFK,LAX,Korean Air,10:00,11:00,1.4,148,KO491,Thursday,5,2025-05-29
13816,2025-05-30,JFK,LAX,American,09:00,10:00,1.0,139,AM201,Friday,5,2025-05-30
14282,2025-05-31,JFK,LAX,ANA,14:15,16:15,2.2,161,AN314,Saturday,5,2025-05-31
14762,2025-06-01,JFK,LAX,LATAM,11:15,12:15,1.5,185,LA608,Sunday,6,2025-06-01
15241,2025-06-02,JFK,LAX,LATAM,12:00,15:00,3.0,120,LA674,Monday,6,2025-06-02
15718,2025-06-03,JFK,LAX,KLM,12:15,14:15,2.9,144,KL893,Tuesday,6,2025-06-03
16192,2025-06-04,JFK,LAX,United,06:45,08:45,2.6,151,UN259,Wednesday,6,2025-06-04
16659,2025-06-05,JFK,LAX,Qantas,13:15,16:15,3.2,193,QA249,Thursday,6,2025-06-05
17138,2025-06-06,JFK,LAX,Qantas,10:30,13:30,3.4,156,QA917,Friday,6,2025-06-06
17610,2025-06-07,JFK,LAX,Korean Air,17:30,18:30,1.8,200,KO427,Saturday,6,2025-06-07
18097,2025-06-08,JFK,LAX,Delta,16:30,17:30,1.6,173,DE250,Sunday,6,2025-06-08
18572,2025-06-09,JFK,LAX,Air France,15:15,16:15,1.2,165,AI468,Monday,6,2025-06-09
19042,2025-06-10,JFK,LAX,Air France,10:00,11:00,1.1,162,AI906,Tuesday,6,2025-06-10
19517,2025-06-11,JFK,LAX,Japan Airlines,17:45,18:45,1.1,179,JA160,Wednesday,6,2025-06-11
19999,2025-06-12,JFK,LAX,American,16:15,19:15,3.2,150,AM656,Thursday,6,2025-06-12
20472,2025-06-13,JFK,LAX,Qantas,05:30,06:30,1.6,169,QA589,Friday,6,2025-06-13
20947,2025-06-14,JFK,LAX,American,13:15,14:15,1.7,186,AM719,Saturday,6,2025-06-14
21415,2025-06-15,JFK,LAX,Japan Airlines,11:30,13:30,2.0,183,JA799,Sunday,6,2025-06-15
21883,2025-06-16,JFK,LAX,Air France,09:15,11:15,2.8,161,AI721,Monday,6,2025-06-16
22349,2025-06-17,JFK,LAX,Qantas,10:00,11:00,1.9,157,QA163,Tuesday,6,2025-06-17
22835,2025-06-18,JFK,LAX,Lufthansa,17:30,20:30,3.4,178,LU457,Wednesday,6,2025-06-18
23324,2025-06-19,JFK,LAX,Korean Air,07:15,09:15,2.2,171,KO324,Thursday,6,2025-06-19
23796,2025-06-20,JFK,LAX,Singapore Airlines,08:30,11:30,3.3,182,SI162,Friday,6,2025-06-20
24289,2025-06-21,JFK,LAX,KLM,13:00,15:00,2.8,150,KL630,Saturday,6,2025-06-21
24771,2025-06-22,JFK,LAX,Lufthansa,11:15,14:15,3.3,185,LU708,Sunday,6,2025-06-22
25253,2025-06-23,JFK,LAX,Korean Air,19:15,21:15,2.7,184,KO998,Monday,6,2025-06-23
25717,2025-06-24,JFK,LAX,ANA,12:30,13:30,1.3,170,AN426,Tuesday,6,2025-06-24
26189,2025-06-25,JFK,LAX,Lufthansa,10:00,13:00,3.0,155,LU308,Wednesday,6,2025-06-25
26675,2025-06-26,JFK,LAX,Korean Air,05:30,08:30,3.3,163,KO589,Thursday,6,2025-06-26
27134,2025-06-27,JFK,LAX,Air France,11:30,12:30,1.2,151,AI261,Friday,6,2025-06-27
27601,2025-06-28,JFK,LAX,LATAM,07:45,08:45,1.5,159,LA602,Saturday,6,2025-06-28
28068,2025-06-29,JFK,LAX,Air Canada,21:00,00:00,3.3,151,AI472,Sunday,6,2025-06-29
28534,2025-06-30,JFK,LAX,Air France,11:15,14:15,3.1,164,AI252,Monday,6,2025-06-30
29011,2025-07-01,JFK,LAX,LATAM,10:45,12:45,2.0,168,LA276,Tuesday,7,2025-07-01
31,2025-05-01,JFK,DFW,American,14:15,16:15,2.9,133,AM482,Thursday,5,2025-05-01
502,2025-05-02,JFK,DFW,Korean Air,10:45,12:45,2.4,144,KO230,Friday,5,2025-05-02
965,2025-05-03,JFK,DFW,United,14:30,15:30,1.7,162,UN666,Saturday,5,2025-05-03
1436,2025-05-04,JFK,DFW,Air Canada,14:45,15:45,1.2,145,AI926,Sunday,5,2025-05-04
1912,2025-05-05,JFK,DFW,Lufthansa,08:30,10:30,2.6,137,LU412,Monday,5,2025-05-05
2388,2025-05-06,JFK,DFW,Qantas,09:00,10:00,1.2,142,QA693,Tuesday,5,2025-05-06
2862,2025-05-07,JFK,DFW,Singapore Airlines,06:15,07:15,1.7,156,SI841,Wednesday,5,2025-05-07
3333,2025-05-08,JFK,DFW,Qantas,09:45,12:45,3.4,167,QA491,Thursday,5,2025-05-08
3819,2025-05-09,JFK,DFW,Korean Air,16:15,17:15,1.2,140,KO363,Friday,5,2025-05-09
4293,2025-05-10,JFK,DFW,American,10:15,11:15,1.3,149,AM629,Saturday,5,2025-05-10
4776,2025-05-11,JFK,DFW,LATAM,13:15,15:15,2.5,148,LA176,Sunday,5,2025-05-11
5250,2025-05-12,JFK,DFW,ANA,06:45,09:45,3.3,147,AN705,Monday,5,2025-05-12
5720,2025-05-13,JFK,DFW,Air Canada,17:45,18:45,1.6,130,AI360,Tuesday,5,2025-05-13
6190,2025-05-14,JFK,DFW,Qantas,16:45,18:45,2.8,137,QA895,Wednesday,5,2025-05-14
6654,2025-05-15,JFK,DFW,Lufthansa,19:45,20:45,1.9,127,LU884,Thursday,5,2025-05-15
7140,2025-05-16,JFK,DFW,American,13:15,15:15,2.6,152,AM539,Friday,5,2025-05-16
7610,2025-05-17,JFK,DFW,United,17:15,18:15,1.6,158,UN321,Saturday,5,2025-05-17
8083,2025-05-18,JFK,DFW,Lufthansa,08:15,10:15,2.2,150,LU424,Sunday,5,2025-05-18
8565,2025-05-19,JFK,DFW,Japan Airlines,13:45,15:45,2.0,162,JA147,Monday,5,2025-05-19
9039,2025-05-20,JFK,DFW,United,12:45,14:45,2.2,130,UN822,Tuesday,5,2025-05-20
9506,2025-05-21,JFK,DFW,LATAM,14:30,15:30,1.2,133,LA126,Wednesday,5,2025-05-21
9983,2025-05-22,JFK,DFW,American,19:30,21:30,2.4,120,AM384,Thursday,5,2025-05-22
10453,2025-05-23,JFK,DFW,Korean Air,09:00,11:00,2.9,133,KO997,Friday,5,2025-05-23
10925,2025-05-24,JFK,DFW,Singapore Airlines,11:00,14:00,3.0,166,SI647,Saturday,5,2025-05-24
11398,2025-05-25,JFK,DFW,LATAM,14:45,16:45,2.5,148,LA576,Sunday,5,2025-05-25
11888,2025-05-26,JFK,DFW,Air Canada,06:30,08:30,2.4,141,AI506,Monday,5,2025-05-26
12369,2025-05-27,JFK,DFW,Korean Air,20:30,22:30,2.2,142,KO885,Tuesday,5,2025-05-27
12853,2025-05-28,JFK,DFW,Singapore Airlines,11:00,12:00,1.5,147,SI129,Wednesday,5,2025-05-28
13336,2025-05-29,JFK,DFW,Singapore Airlines,20:30,23:30,3.0,151,SI378,Thursday,5,2025-05-29
13817,2025-05-30,JFK,DFW,Air France,05:00,08:00,3.4,140,AI517,Friday,5,2025-05-30
14283,2025-05-31,JFK,DFW,United,22:30,23:30,1.0,147,UN795,Saturday,5,2025-05-31
14763,2025-06-01,JFK,DFW,Delta,20:00,21:00,1.1,201,DE434,Sunday,6,2025-06-01
15242,2025-06-02,JFK,DFW,American,19:45,20:45,1.9,176,AM255,Monday,6,2025-06-02
15719,2025-06-03,JFK,DFW,Air Canada,22:30,23:30,1.4,146,AI310,Tuesday,6,2025-06-03
16193,2025-06-04,JFK,DFW,American,21:15,23:15,2.9,160,AM371,Wednesday,6,2025-06-04
16660,2025-06-05,JFK,DFW,Air Canada,11:00,13:00,2.5,146,AI588,Thursday,6,2025-06-05
17139,2025-06-06,JFK,DFW,ANA,21:00,22:00,1.0,170,AN239,Friday,6,2025-06-06
17612,2025-06-07,JFK,DFW,Air France,17:30,19:30,2.3,168,AI650,Saturday,6,2025-06-07
18098,2025-06-08,JFK,DFW,Delta,06:00,07:00,1.2,164,DE640,Sunday,6,2025-06-08
18573,2025-06-09,JFK,DFW,Korean Air,20:15,23:15,3.2,164,KO865,Monday,6,2025-06-09
19044,2025-06-10,JFK,DFW,Delta,16:15,18:15,2.3,158,DE162,Tuesday,6,2025-06-10
19518,2025-06-11,JFK,DFW,American,16:15,17:15,1.3,165,AM816,Wednesday,6,2025-06-11
20000,2025-06-12,JFK,DFW,Air France,14:45,16:45,2.6,149,AI751,Thursday,6,2025-06-12
20473,2025-06-13,JFK,DFW,Lufthansa,18:15,20:15,2.9,173,LU761,Friday,6,2025-06-13
20948,2025-06-14,JFK,DFW,Korean Air,10:15,11:15,1.7,204,KO807,Saturday,6,2025-06-14
21416,2025-06-15,JFK,DFW,Qantas,07:30,09:30,2.6,207,QA237,Sunday,6,2025-06-15
21885,2025-06-16,JFK,DFW,Lufthansa,12:00,14:00,2.5,158,LU969,Monday,6,2025-06-16
22350,2025-06-17,JFK,DFW,Singapore Airlines,18:15,21:15,3.3,191,SI573,Tuesday,6,2025-06-17
22836,2025-06-18,JFK,DFW,Singapore Airlines,13:45,15:45,2.8,176,SI719,Wednesday,6,2025-06-18
23326,2025-06-19,JFK,DFW,Lufthansa,06:00,08:00,2.3,158,LU162,Thursday,6,2025-06-19
23797,2025-06-20,JFK,DFW,Singapore Airlines,07:15,08:15,1.3,186,SI839,Friday,6,2025-06-20
24290,2025-06-21,JFK,DFW,Japan Airlines,08:30,09:30,1.5,184,JA346,Saturday,6,2025-06-21
24772,2025-06-22,JFK,DFW,KLM,15:45,16:45,1.4,173,KL231,Sunday,6,2025-06-22
25254,2025-06-23,JFK,DFW,LATAM,17:30,18:30,1.2,169,LA102,Monday,6,2025-06-23
25718,2025-06-24,JFK,DFW,Delta,07:45,08:45,1.7,137,DE850,Tuesday,6,2025-06-24
26190,2025-06-25,JFK,DFW,ANA,05:30,07:30,2.2,166,AN384,Wednesday,6,2025-06-25
26677,2025-06-26,JFK,DFW,Air France,09:15,12:15,3.0,168,AI179,Thursday,6,2025-06-26
27135,2025-06-27,JFK,DFW,Air Canada,11:45,13:45,2.1,174,AI522,Friday,6,2025-06-27
27602,2025-06-28,JFK,DFW,LATAM,16:00,18:00,2.6,186,LA947,Saturday,6,2025-06-28
28069,2025-06-29,JFK,DFW,Delta,18:00,20:00,2.4,198,DE357,Sunday,6,2025-06-29
28535,2025-06-30,JFK,DFW,KLM,14:45,17:45,3.1,146,KL818,Monday,6,2025-06-30
29012,2025-07-01,JFK,DFW,Singapore Airlines,10:00,11:00,1.3,181,SI743,Tuesday,7,2025-07-01
32,2025-05-01,JFK,MIA,Singapore Airlines,22:00,23:00,1.3,135,SI431,Thursday,5,2025-05-01
503,2025-05-02,JFK,MIA,LATAM,12:00,15:00,3.4,146,LA123,Friday,5,2025-05-02
966,2025-05-03,JFK,MIA,United,09:00,10:00,1.1,142,UN105,Saturday,5,2025-05-03
1437,2025-05-04,JFK,MIA,Lufthansa,20:15,21:15,1.9,148,LU246,Sunday,5,2025-05-04
1913,2025-05-05,JFK,MIA,Qantas,16:30,19:30,3.0,133,QA275,Monday,5,2025-05-05
2389,2025-05-06,JFK,MIA,Singapore Airlines,08:45,10:45,2.5,140,SI225,Tuesday,5,2025-05-06
2863,2025-05-07,JFK,MIA,Korean Air,08:45,10:45,2.0,145,KO842,Wednesday,5,2025-05-07
3334,2025-05-08,JFK,MIA,Delta,19:30,21:30,2.2,126,DE380,Thursday,5,2025-05-08
3820,2025-05-09,JFK,MIA,Air Canada,08:45,10:45,2.8,131,AI327,Friday,5,2025-05-09
4294,2025-05-10,JFK,MIA,American,06:15,09:15,3.0,160,AM249,Saturday,5,2025-05-10
4777,2025-05-11,JFK,MIA,Japan Airlines,19:45,22:45,3.4,158,JA219,Sunday,5,2025-05-11
5251,2025-05-12,JFK,MIA,ANA,09:30,12:30,3.4,144,AN719,Monday,5,2025-05-12
5721,2025-05-13,JFK,MIA,Air Canada,08:30,09:30,1.8,125,AI747,Tuesday,5,2025-05-13
6191,2025-05-14,JFK,MIA,Air Canada,13:00,15:00,2.7,138,AI489,Wednesday,5,2025-05-14
6655,2025-05-15,JFK,MIA,Qantas,13:15,16:15,3.0,171,QA173,Thursday,5,2025-05-15
7141,2025-05-16,JFK,MIA,United,11:00,13:00,2.0,146,UN314,Friday,5,2025-05-16
7612,2025-05-17,JFK,MIA,Lufthansa,16:45,18:45,2.7,172,LU347,Saturday,5,2025-05-17
8084,2025-05-18,JFK,MIA,United,22:30,01:30,3.1,145,UN656,Sunday,5,2025-05-18
8566,2025-05-19,JFK,MIA,Korean Air,09:00,11:00,2.9,140,KO787,Monday,5,2025-05-19
9040,2025-05-20,JFK,MIA,ANA,22:00,23:00,1.4,144,AN239,Tuesday,5,2025-05-20
9507,2025-05-21,JFK,MIA,Qantas,15:00,17:00,2.8,154,QA112,Wednesday,5,2025-05-21
9984,2025-05-22,JFK,MIA,Singapore Airlines,18:30,20:30,2.0,126,SI166,Thursday,5,2025-05-22
10454,2025-05-23,JFK,MIA,Air France,13:45,15:45,2.0,144,AI792,Friday,5,2025-05-23
10927,2025-05-24,JFK,MIA,Japan Airlines,13:15,14:15,1.3,197,JA355,Saturday,5,2025-05-24
11400,2025-05-25,JFK,MIA,LATAM,11:45,13:45,2.6,150,LA649,Sunday,5,2025-05-25
11889,2025-05-26,JFK,MIA,Lufthansa,05:45,06:45,1.8,139,LU619,Monday,5,2025-05-26
12371,2025-05-27,JFK,MIA,Air Canada,15:00,18:00,3.1,138,AI602,Tuesday,5,2025-05-27
12855,2025-05-28,JFK,MIA,Lufthansa,21:45,23:45,2.3,124,LU937,Wednesday,5,2025-05-28
13337,2025-05-29,JFK,MIA,Singapore Airlines,16:15,18:15,2.0,162,SI292,Thursday,5,2025-05-29
13818,2025-05-30,JFK,MIA,American,20:30,22:30,2.4,135,AM182,Friday,5,2025-05-30
14284,2025-05-31,JFK,MIA,Air Canada,19:00,20:00,1.2,144,AI932,Saturday,5,2025-05-31
14764,2025-06-01,JFK,MIA,Japan Airlines,05:00,06:00,1.4,202,JA306,Sunday,6,2025-06-01
15243,2025-06-02,JFK,MIA,ANA,18:45,19:45,1.9,170,AN331,Monday,6,2025-06-02
15720,2025-06-03,JFK,MIA,Qantas,08:45,11:45,3.1,172,QA888,Tuesday,6,2025-06-03
16194,2025-06-04,JFK,MIA,Air France,19:00,20:00,1.5,145,AI587,Wednesday,6,2025-06-04
16661,2025-06-05,JFK,MIA,Japan Airlines,21:00,22:00,1.9,157,JA281,Thursday,6,2025-06-05
17140,2025-06-06,JFK,MIA,Qantas,19:30,20:30,1.8,171,QA174,Friday,6,2025-06-06
17613,2025-06-07,JFK,MIA,LATAM,11:15,14:15,3.0,174,LA270,Saturday,6,2025-06-07
18099,2025-06-08,JFK,MIA,Japan Airlines,18:00,19:00,1.7,196,JA331,Sunday,6,2025-06-08
18574,2025-06-09,JFK,MIA,ANA,21:15,00:15,3.3,192,AN258,Monday,6,2025-06-09
19045,2025-06-10,JFK,MIA,KLM,17:00,19:00,2.3,158,KL736,Tuesday,6,2025-06-10
19519,2025-06-11,JFK,MIA,LATAM,08:15,11:15,3.0,174,LA407,Wednesday,6,2025-06-11
20001,2025-06-12,JFK,MIA,Lufthansa,11:15,14:15,3.1,155,LU522,Thursday,6,2025-06-12
20474,2025-06-13,JFK,MIA,Singapore Airlines,10:15,13:15,3.1,156,SI637,Friday,6,2025-06-13
20949,2025-06-14,JFK,MIA,Air France,05:45,06:45,1.0,169,AI438,Saturday,6,2025-06-14
21417,2025-06-15,JFK,MIA,Air France,20:00,22:00,2.2,164,AI861,Sunday,6,2025-06-15
21886,2025-06-16,JFK,MIA,Korean Air,18:15,20:15,2.0,165,KO695,Monday,6,2025-06-16
22351,2025-06-17,JFK,MIA,Lufthansa,05:45,07:45,2.6,136,LU375,Tuesday,6,2025-06-17
22837,2025-06-18,JFK,MIA,KLM,21:00,22:00,1.8,156,KL597,Wednesday,6,2025-06-18
23328,2025-06-19,JFK,MIA,Japan Airlines,11:00,13:00,2.5,192,JA503,Thursday,6,2025-06-19
23799,2025-06-20,JFK,MIA,Korean Air,17:30,18:30,1.1,167,KO382,Friday,6,2025-06-20
24291,2025-06-21,JFK,MIA,KLM,11:45,13:45,2.9,173,KL209,Saturday,6,2025-06-21
24773,2025-06-22,JFK,MIA,Singapore Airlines,16:45,18:45,2.4,210,SI493,Sunday,6,2025-06-22
25256,2025-06-23,JFK,MIA,Air France,12:30,14:30,2.6,140,AI474,Monday,6,2025-06-23
25719,2025-06-24,JFK,MIA,Lufthansa,20:15,22:15,2.6,151,LU757,Tuesday,6,2025-06-24
26191,2025-06-25,JFK,MIA,Singapore Airlines,12:30,13:30,1.2,165,SI216,Wednesday,6,2025-06-25
26678,2025-06-26,JFK,MIA,Air Canada,22:45,23:45,1.2,153,AI556,Thursday,6,2025-06-26
27136,2025-06-27,JFK,MIA,Lufthansa,14:15,17:15,3.4,177,LU968,Friday,6,2025-06-27
27603,2025-06-28,JFK,MIA,United,18:30,19:30,1.9,175,UN722,Saturday,6,2025-06-28
28071,2025-06-29,JFK,MIA,American,15:30,16:30,1.4,181,AM774,Sunday,6,2025-06-29
28536,2025-06-30,JFK,MIA,LATAM,17:30,19:30,2.5,155,LA832,Monday,6,2025-06-30
29013,2025-07-01,JFK,MIA,ANA,21:00,00:00,3.0,159,AN462,Tuesday,7,2025-07-01
33,2025-05-01,JFK,SEA,LATAM,08:30,11:30,3.2,121,LA414,Thursday,5,2025-05-01
504,2025-05-02,JFK,SEA,Korean Air,19:45,22:45,3.3,134,KO488,Friday,5,2025-05-02
967,2025-05-03,JFK,SEA,Air France,17:00,20:00,3.3,156,AI315,Saturday,5,2025-05-03
1438,2025-05-04,JFK,SEA,Japan Airlines,21:45,00:45,3.5,173,JA344,Sunday,5,2025-05-04
